team,off_eff,def_eff,tempo,off_eff_home,def_eff_home,off_eff_away,def_eff_away
UC Santa Barbara,117.284,114.114,0.578134,117.284,114.114,117.284,114.114
Arkansas Pine Bluff,105.265,114.41,0.277267,105.265,114.41,105.265,114.41
Toledo,113.538,113.269,0.506832,113.538,113.269,113.538,113.269
Indiana,124.934,100.779,0.922074,124.934,100.779,124.934,100.779
Louisiana,97.2741,111.311,0.175073,97.2741,111.311,97.2741,111.311
Central Michigan,103.623,115.226,0.22784,103.623,115.226,103.623,115.226
Brown,96.6691,104.734,0.284658,96.6691,104.734,96.6691,104.734
Wright St.,114.314,108.049,0.656604,114.314,108.049,114.314,108.049
UC Irvine,104.511,98.7496,0.657479,104.511,98.7496,104.511,98.7496
Montana,109.336,106.543,0.573856,109.336,106.543,109.336,106.543
UAB,110.569,106.355,0.609891,110.569,106.355,110.569,106.355
Tulane,106.959,110.242,0.413948,106.959,110.242,106.959,110.242
FIU,108.516,108.242,0.507277,108.516,108.242,108.516,108.242
BYU,123.841,99.8461,0.922495,123.841,99.8461,123.841,99.8461
Illinois Chicago,109.866,105.089,0.625106,109.866,105.089,109.866,105.089
Xavier,114.829,105.334,0.729596,114.829,105.334,114.829,105.334
Charlotte,113.571,113.319,0.506404,113.571,113.319,113.571,113.319
Canisius,94.8124,112.751,0.119972,94.8124,112.751,94.8124,112.751
Wake Forest,114.644,102.798,0.778034,114.644,102.798,114.644,102.798
Florida Atlantic,113.637,104.131,0.731977,113.637,104.131,113.637,104.131
Northeastern,109.728,117.797,0.306613,109.728,117.797,109.728,117.797
Robert Morris,110.295,113.008,0.4306,110.295,113.008,110.295,113.008
Seattle,102.921,97.0951,0.661535,102.921,97.0951,102.921,97.0951
Villanova,120.951,100.673,0.891905,120.951,100.673,120.951,100.673
Howard,98.3767,107.191,0.27154,98.3767,107.191,98.3767,107.191
Utah St.,122.447,102.649,0.883721,122.447,102.649,122.447,102.649
Marist,100.726,99.3769,0.538683,100.726,99.3769,100.726,99.3769
Portland St.,103.623,102.514,0.530886,103.623,102.514,103.623,102.514
Denver,115.944,123.938,0.317196,115.944,123.938,115.944,123.938
Cal St. Northridge,108.539,110.641,0.445084,108.539,110.641,108.539,110.641
Maryland,111.028,106.976,0.6053,111.028,106.976,111.028,106.976
Rice,108.784,113.814,0.372887,108.784,113.814,108.784,113.814
Abilene Christian,103.19,110.128,0.321198,103.19,110.128,103.19,110.128
Rider,95.8061,116.584,0.0947194,95.8061,116.584,95.8061,116.584
Boston College,102.325,100.741,0.544755,102.325,100.741,102.325,100.741
Arizona,126.356,91.589,0.975887,126.356,91.589,126.356,91.589
Penn St.,114.509,111.671,0.571647,114.509,111.671,114.509,111.671
Hawaii,105.849,96.6503,0.739922,105.849,96.6503,105.849,96.6503
San Diego,108.766,110.155,0.46359,108.766,110.155,108.766,110.155
UC Davis,110.47,110.457,0.500336,110.47,110.457,110.47,110.457
LSU,119.756,106.293,0.797629,119.756,106.293,119.756,106.293
Fresno St.,103.31,101.616,0.54738,103.31,101.616,103.31,101.616
UMKC,97.1711,117.079,0.10496,97.1711,117.079,97.1711,117.079
Baylor,120.546,108.512,0.770211,120.546,108.512,120.546,108.512
Oral Roberts,100.021,115.216,0.16431,100.021,115.216,100.021,115.216
Ohio,104.705,110.629,0.34685,104.705,110.629,104.705,110.629
Winthrop,111.987,111.349,0.516408,111.987,111.349,111.987,111.349
Northern Illinois,99.7749,112.425,0.202172,99.7749,112.425,99.7749,112.425
Georgia Tech,108.398,105.112,0.587598,108.398,105.112,108.398,105.112
Kent St.,111.912,109.024,0.574605,111.912,109.024,111.912,109.024
High Point,118.622,110.687,0.68915,118.622,110.687,118.622,110.687
Weber St.,110.108,112.368,0.441832,110.108,112.368,110.108,112.368
Maine,91.406,111.264,0.0944215,91.406,111.264,91.406,111.264
Radford,108.136,116.595,0.296054,108.136,116.595,108.136,116.595
Kansas,121.934,94.9165,0.946878,121.934,94.9165,121.934,94.9165
SMU,124.736,104.277,0.88697,124.736,104.277,124.736,104.277
Richmond,111.372,109.037,0.560619,111.372,109.037,111.372,109.037
Providence,123.123,111.335,0.760851,123.123,111.335,123.123,111.335
Louisville,125.386,99.0315,0.937819,125.386,99.0315,125.386,99.0315
Davidson,109.113,104.869,0.612107,109.113,104.869,109.113,104.869
North Florida,110.955,127.329,0.170367,110.955,127.329,110.955,127.329
Missouri St.,109.608,108.51,0.528927,109.608,108.51,109.608,108.51
Vanderbilt,125.736,95.1518,0.961028,125.736,95.1518,125.736,95.1518
Washington St.,114.266,111.241,0.576538,114.266,111.241,114.266,111.241
Akron,122.886,108.6,0.805524,122.886,108.6,122.886,108.6
Bowling Green,109.924,106.243,0.596695,109.924,106.243,109.924,106.243
Memphis,105.621,98.9525,0.679185,105.621,98.9525,105.621,98.9525
Central Arkansas,108.605,108.347,0.506857,108.605,108.347,108.605,108.347
Murray St.,118.919,110.463,0.700212,118.919,110.463,118.919,110.463
American,105.956,109.653,0.402648,105.956,109.653,105.956,109.653
Notre Dame,114.027,104.716,0.727028,114.027,104.716,114.027,104.716
Creighton,117.466,105.525,0.774302,117.466,105.525,117.466,105.525
Duke,125.041,94.0878,0.963411,125.041,94.0878,125.041,94.0878
Indiana St.,106.284,109.554,0.413751,106.284,109.554,106.284,109.554
UCLA,119.176,102.149,0.854818,119.176,102.149,119.176,102.149
Pacific,111.461,106.754,0.621578,111.461,106.754,111.461,106.754
Texas A&M,121.535,99.753,0.906469,121.535,99.753,121.535,99.753
North Texas,100.006,100.255,0.492842,100.006,100.255,100.006,100.255
Nevada,118.285,104.406,0.807727,118.285,104.406,118.285,104.406
UTSA,95.8888,117.317,0.0895278,95.8888,117.317,95.8888,117.317
Mississippi Valley St.,88.0439,119.354,0.0293403,88.0439,119.354,88.0439,119.354
Gardner Webb,95.0794,123.897,0.045456,95.0794,123.897,95.0794,123.897
Prairie View A&M,100.728,116.53,0.157661,100.728,116.53,100.728,116.53
Chattanooga,104.008,114.835,0.242531,104.008,114.835,104.008,114.835
Georgia Southern,109.075,115.645,0.337909,109.075,115.645,109.075,115.645
Northern Arizona,104.659,117.735,0.205246,104.659,117.735,104.659,117.735
Nebraska,122.437,93.9327,0.954685,122.437,93.9327,122.437,93.9327
Yale,122.163,109.316,0.782082,122.163,109.316,122.163,109.316
Tennessee Martin,100.573,108.847,0.287182,100.573,108.847,100.573,108.847
Morehead St.,106.082,119.253,0.206541,106.082,119.253,106.082,119.253
Tennessee,121.695,96.3988,0.935823,121.695,96.3988,121.695,96.3988
Texas St.,101.204,111.049,0.255858,101.204,111.049,101.204,111.049
Jackson St.,99.1199,117.054,0.128703,99.1199,117.054,99.1199,117.054
Mississippi,112.562,103.481,0.724599,112.562,103.481,112.562,103.481
Wyoming,114.765,107.067,0.689641,114.765,107.067,114.765,107.067
Minnesota,113.247,100.887,0.790679,113.247,100.887,113.247,100.887
Illinois,131.281,99.3483,0.961027,131.281,99.3483,131.281,99.3483
LIU,106.572,111.15,0.381373,106.572,111.15,106.572,111.15
UTEP,103.663,112.422,0.282358,103.663,112.422,103.663,112.422
Loyola Chicago,104.558,117.804,0.202334,104.558,117.804,104.558,117.804
Texas,126.368,106.851,0.873174,126.368,106.851,126.368,106.851
