
"UC Santa Barbara",117.284,114.114,0.578134,13-7,13,20,56.6,54.4,37,45.2,18.2,17.6,32.4,26.9,63.4282,54.7,54.8,39.4,35.9,0,0,56.5,52.3,42.7,38.5,63.4282,,,,2026,,,,-4.08319,78,
"Arkansas Pine Bluff",105.265,114.41,0.277267,7-13,7,20,48.3,54.1,36.1,48.4,19.6,15.6,27.3,36,70.2737,48,55.7,32.6,34.4,0,0,55.5,58.3,37.9,38.6,70.2737,,,,2026,,,,-7.10134,76.2,
Toledo,113.538,113.269,0.506832,11-10,11,21,52.7,56.5,34.4,25.7,15.7,18.9,31.2,35.9,68.2529,51.9,58,36.2,36.2,0,0,52.7,53.2,32.3,39.7,68.2529,,,,2026,,,,-5.39785,77.3,
Indiana,124.934,100.779,0.922074,14-7,14,21,56.5,46.9,36,37.5,15.2,16.3,29.5,28.5,66.4385,59.5,47.2,35.9,30.8,0,0,63.8,44.7,51.8,36.3,66.4385,,,,2026,,,,0.710215,78.2,
Louisiana,97.2741,111.311,0.175073,5-16,5,21,46.7,52.2,26.1,46.1,18.4,17.8,26.5,31.8,62.3763,45.8,50.1,31.8,37.1,0,0,49.2,53.3,45,37.3,62.3763,,,,2026,,,,-12.3877,67.7,
"Central Michigan",103.623,115.226,0.22784,6-15,6,21,49.3,54.9,30,41.9,17.4,16.1,28.7,34.7,66.374,51,55.5,30.7,35.9,0,0,55.2,58.5,34.3,39.7,66.374,,,,2026,,,,-10.5433,71.5,
Brown,96.6691,104.734,0.284658,7-11,7,18,47.3,49,27.7,32.4,18.5,18,28.5,31.2,66.1374,47.7,50.3,31.1,31.4,0,0,59.1,52.4,36.2,39.2,66.1374,,,,2026,,,,-8.60439,71.3,
"Wright St.",114.314,108.049,0.656604,13-8,13,21,54.8,52.3,36.3,36.2,16.5,17.4,32.2,30.9,65.6912,55,53.4,36.3,33.4,0,0,46.6,43.4,34.2,33.8,65.6912,,,,2026,,,,-4.59884,74.5,
"UC Irvine",104.511,98.7496,0.657479,14-7,14,21,48.5,44.5,38.4,28.8,17.6,17.9,30,32.5,67.6727,48,41.4,33.2,33.5,0,0,54.7,52.4,29.5,35.2,67.6727,,,,2026,,,,-3.33416,68.8,
Montana,109.336,106.543,0.573856,12-9,12,21,56.9,50.5,35.8,31.3,19.6,14.6,22,30.9,69.1454,57.2,51.8,37.7,32.2,0,0,58.3,49.7,41.7,36.8,69.1454,,,,2026,,,,-4.8865,79,
UAB,110.569,106.355,0.609891,12-8,12,20,48.1,50.6,36.9,31.2,12.5,16.8,33.8,26.7,69.3738,50.3,50.1,28.3,34.2,0,0,49.4,53.7,28.5,40.8,69.3738,,,,2026,,,,-3.92053,71.9,
Tulane,106.959,110.242,0.413948,12-8,12,20,49.7,51.5,44.9,35.6,15.1,18.3,22.7,35,66.0875,51.5,50.2,31.5,35.7,0,0,52,56.6,43.5,40,66.0875,,,,2026,,,,-4.85201,77.5,
FIU,108.516,108.242,0.507277,10-11,10,21,50.8,52.7,40.3,35.4,17.1,20.3,32.7,36.4,72.3503,50.2,52.6,34.6,35.2,0,0,51.5,63.1,34.3,44.7,72.3503,,,,2026,,,,-6.77993,68,
BYU,123.841,99.8461,0.922495,17-3,17,20,55.8,47.8,35.9,26.7,15.3,17.5,35.9,28.5,69.978,57.4,47.9,35.6,31.8,0,0,50,54,40.4,39.6,69.978,,,,2026,,,,4.5449,75.1,
"Illinois Chicago",109.866,105.089,0.625106,12-10,12,22,48.4,49.1,38.2,35.7,17.9,20.2,36.9,35.5,65.8363,49.1,51.4,31.4,30.9,0,0,54,66.4,33.8,45.4,65.8363,,,,2026,,,,-5.56233,73.4,
Xavier,114.829,105.334,0.729596,11-10,11,21,51.4,52.5,26.7,34.3,14,16.9,26.7,28.8,70.5314,49.2,53,36.3,34.4,0,0,66.6,64.1,41.9,35.1,70.5314,,,,2026,,,,-2.38583,70.5,
Charlotte,113.571,113.319,0.506404,12-9,12,21,53.7,51.4,39.7,40.8,18.1,14.9,36.1,30.7,62.8157,52.9,51.2,36.4,34.5,0,0,51.7,49.6,43.5,39.9,62.8157,,,,2026,,,,-5.23838,71.1,
Canisius,94.8124,112.751,0.119972,8-13,8,21,45.8,52.6,32.5,31.9,19.7,16.2,29.4,30.4,63.4435,42.7,55.4,33.7,33,0,0,56.8,59.7,38.4,46.7,63.4435,,,,2026,,,,-10.0016,70.1,
"Wake Forest",114.644,102.798,0.778034,11-10,11,21,52.5,51.2,32.5,38,16.3,20.5,30.7,34.2,68.969,54,55.7,33.8,30.8,0,0,53.7,59.8,44.7,47.4,68.969,,,,2026,,,,-1.83754,76.1,
"Florida Atlantic",113.637,104.131,0.731977,14-7,14,21,53.8,49.9,32.7,38.3,17.4,17.1,32.2,28.3,70.4233,55.3,48.9,34.5,34.4,0,0,48.2,47.5,40.6,36.8,70.4233,,,,2026,,,,-2.31625,71.3,
Northeastern,109.728,117.797,0.306613,6-14,6,20,53.3,56.3,32.7,41.2,16.9,18.6,28,33.1,69.9816,54.1,57.4,34.7,36.3,0,0,55,48.4,37.4,35.8,69.9816,,,,2026,,,,-10.3066,69.1,
"Robert Morris",110.295,113.008,0.4306,14-9,14,23,53.9,51.5,30.3,45.3,18.8,16,38,29.2,64.3968,51.9,51.4,37.9,34.4,0,0,63.5,52.2,40.1,35.8,64.3968,,,,2026,,,,-5.59343,70,
Seattle,102.921,97.0951,0.661535,14-8,14,22,50.4,47.6,33,33.3,17.3,21.5,24.9,33.8,67.8577,50,48.4,34.1,30.7,0,0,53.3,53.2,38.6,36.5,67.8577,,,,2026,,,,-2.97801,69.6,
Villanova,120.951,100.673,0.891905,15-5,15,20,54.2,50.7,30.6,28.8,15.7,18.6,35.7,32.5,62.8277,53.9,49.7,36.3,34.8,0,0,54.3,51.9,45.1,37.8,62.8277,,,,2026,,,,2.40463,71.2,
Howard,98.3767,107.191,0.27154,12-9,12,21,46.6,50,40.6,41.4,20.1,21.4,33.7,32.1,68.8589,46.1,50.3,31.7,33,0,0,55.4,49.8,33.3,36.1,68.8589,,,,2026,,,,-6.24166,72.5,
"Utah St.",122.447,102.649,0.883721,16-3,16,19,57.2,49.1,37.2,39.8,16.2,22.3,36.6,32.1,67.6862,59.8,47.4,35.2,34.3,0,0,57.3,46.8,37.5,41.7,67.6862,,,,2026,,,,1.94688,71.1,
Marist,100.726,99.3769,0.538683,13-7,13,20,49.9,44.3,25.6,40.2,17.2,20.3,28,27,66.1384,51.8,46,31.1,27.5,0,0,59.7,44.6,35.9,36.7,66.1384,,,,2026,,,,-4.72419,78.4,
"Portland St.",103.623,102.514,0.530886,13-5,13,18,52.3,47.8,35.3,46.5,18.7,17.9,31,27.3,68.0052,52.8,48.8,34.2,30.7,0,0,55.4,55.7,34.7,38.2,68.0052,,,,2026,,,,-1.98639,70.2,
Denver,115.944,123.938,0.317196,9-13,9,22,53.5,58.1,34.9,35.9,15.2,13.4,29.2,36.2,68.2024,52.2,57.8,37.2,39.1,0,0,40,44.4,38.2,38.2,68.2024,,,,2026,,,,-7.64982,76.9,
"Cal St. Northridge",108.539,110.641,0.445084,11-10,11,21,50.5,52.6,37.2,37,18.3,15.8,32.4,25.9,73.3899,51.7,52.8,32.2,35,0,0,56.2,55.6,34.3,48.7,73.3899,,,,2026,,,,-5.85614,66.4,
Maryland,111.028,106.976,0.6053,8-12,8,20,47.6,54.7,40.1,34,18,16.9,32.9,31,67.3195,47,54.3,32.2,36.9,0,0,45,61.1,45.9,41.8,67.3195,,,,2026,,,,-2.97353,73.2,
Rice,108.784,113.814,0.372887,9-12,9,21,48.7,52,37.1,39.2,18.1,16.8,34.1,35,65.2042,44.6,51.1,36.4,35.7,0,0,45.5,48.7,41.4,35.6,65.2042,,,,2026,,,,-7.78738,68.4,
"Abilene Christian",103.19,110.128,0.321198,10-9,10,19,47,55.9,39.4,52.6,20.9,21.8,33.2,30.8,65.3145,46.5,54.8,32,38.8,0,0,54.2,51.8,31,32.8,65.3145,,,,2026,,,,-4.9501,72,
Rider,95.8061,116.584,0.0947194,2-17,2,19,41.9,53.7,30.2,32.5,18.9,13.2,33.7,33.2,64.9275,42.6,53.1,26.7,36.5,0,0,44.9,52.5,27.5,39,64.9275,,,,2026,,,,-12.4076,70.6,
"Boston College",102.325,100.741,0.544755,9-11,9,20,46.7,46.5,35.1,33.9,15.5,15.5,28.9,29.2,65.601,48.3,46.9,29.7,30.4,0,0,48.5,47.6,43.7,36.4,65.601,,,,2026,,,,-5.72239,66.3,
Arizona,126.356,91.589,0.975887,21-0,21,21,56.6,45.1,43.7,27.7,15.5,18.2,39.4,25.3,71.0792,57.4,43.6,36.3,31.9,0,0,57.5,50.4,27.4,36.7,71.0792,,,,2026,,,,7.97828,73.8,
"Penn St.",114.509,111.671,0.571647,9-11,9,20,53.4,57.2,33.2,26.7,14.1,18.6,28.2,30.6,66.9945,55.8,57.7,33.3,37.7,0,0,48.6,56.8,40,44.6,66.9945,,,,2026,,,,-3.98395,74.2,
Hawaii,105.849,96.6503,0.739922,15-4,15,19,53.1,43.6,42.4,35.6,19.6,17.4,33.7,25.8,69.0495,56.2,44.4,32.2,27.7,0,0,51.3,37.6,39.6,30.9,69.0495,,,,2026,,,,-1.66396,72.4,
"San Diego",108.766,110.155,0.46359,9-13,9,22,50.9,54.5,27.5,38.5,17.5,20.5,28.2,37.7,69.5045,51.6,58.6,33.4,32.3,0,0,58.4,56.6,43.8,40.6,69.5045,,,,2026,,,,-7.45875,75.2,
"UC Davis",110.47,110.457,0.500336,12-8,12,20,53.6,52.2,41.3,40.7,18.6,18.7,26.4,31.1,68.8803,53.6,51.8,35.8,35.1,0,0,61.6,54.2,43.6,39,68.8803,,,,2026,,,,-4.12456,74.7,
LSU,119.756,106.293,0.797629,13-8,13,21,54.5,49.4,42.4,35.1,15.5,15.3,33.2,30.3,66.3353,57.2,47.1,32.9,35.3,0,0,51.2,47.4,35,39.7,66.3353,,,,2026,,,,-1.01957,76.5,
"Fresno St.",103.31,101.616,0.54738,9-11,9,20,49.4,50.4,34.1,29.3,19.9,19.6,29.2,30.2,67.828,51.4,56.5,31.1,28.2,0,0,53.8,50.3,41.9,42.5,67.828,,,,2026,,,,-5.75329,76.4,
UMKC,97.1711,117.079,0.10496,4-17,4,21,46.9,56.3,31.5,32.5,19.4,16.8,28.3,36.5,68.8398,48.4,57.7,29.6,35.8,0,0,46.4,51.7,35.6,36.9,68.8398,,,,2026,,,,-12.6856,69.3,
Baylor,120.546,108.512,0.770211,11-9,11,20,53.8,50.3,37.8,28.2,16.5,15.5,38.4,32.3,68.2695,54.1,49,35.5,35.1,0,0,53.8,47.3,39.4,35,68.2695,,,,2026,,,,-1.20403,71.6,
"Oral Roberts",100.021,115.216,0.16431,5-17,5,22,48.6,55,35.8,39.9,19.5,15.6,27.2,34.9,66.8295,50.3,53.3,31,38.7,0,0,46.6,44.8,46,35.8,66.8295,,,,2026,,,,-12.5411,73.8,
Ohio,104.705,110.629,0.34685,11-11,11,22,50.3,52.3,36.9,36.7,17.3,17.9,29,34.5,69.1698,54.3,51.7,29.1,35.6,0,0,43.6,48.1,37.8,35.1,69.1698,,,,2026,,,,-6.67237,69.6,
Winthrop,111.987,111.349,0.516408,15-8,15,23,50.3,51.9,42.1,37.9,14.2,17.3,34.8,29.1,68.3558,50.1,53,33.7,33.6,0,0,52.4,45.8,43.9,42.5,68.3558,,,,2026,,,,-3.50615,72.3,
"Northern Illinois",99.7749,112.425,0.202172,7-13,7,20,48.5,54.4,39.3,42,22.4,17.6,35.2,31.9,66.9125,49.1,56.9,31.9,33.6,0,0,51.3,52,46,38.3,66.9125,,,,2026,,,,-9.14281,66.7,
"Georgia Tech",108.398,105.112,0.587598,11-10,11,21,50.4,46.9,36.2,33.8,18.9,15.7,31.5,29.5,70.3076,48.9,47.7,35.8,30.6,0,0,61.9,56.4,31.4,43.8,70.3076,,,,2026,,,,-4.14925,68.9,
